통합고유ID,통합카테고리,통합소분류,장소명,도로명주소,지번주소,위도,경도,전화번호,운영시간,휴무일,입장가능동물크기,데이터갱신일자
,기타,입력대기,111LAC,충북 청주시 상당구 낭성면 추정2길 13-2,,36.5938484,127.611168,043-284-1171,매일 10:30 - 21:00,,,
,기타,입력대기,12번길,충북 청주시 흥덕구 비하로12번길 39,,36.62959525,127.4260581,0507-1382-5963,,,,
,기타,입력대기,1938슬로우,강원 강릉시 임영로141번길 4-6 1938slow,,37.75394887,128.8910699,033-646-4649,,,,
,기타,입력대기,5월5일,충북 청주시 흥덕구 죽천로131번길 8-10,,36.63816338,127.4378151,,"09:30 - 18:00//토,일 : 정기휴무 (매주 토요일, 일요일)",,,
,기타,입력대기,Cafe 8mm,강원 춘천시 신동면 모오리길 47-28,,37.82232826,127.7037905,,,,,
,기타,입력대기,G7무인텔광혜원점,충북 진천군 광혜원면 장기1길 25-4,,36.98969039,127.4465021,043-535-5567,,,,
,기타,입력대기,K명품무인텔,충북 청주시 상당구 무심동로336번길 51,,36.63139184,127.4858422,0507-1388-0045,,,,
,기타,입력대기,SEIZEON,강원 원주시 양지뜰4길 1-2,,37.32731976,127.9824137,,,,,
,기타,입력대기,The조선식탁,충북 진천군 덕산읍 석장로 227,,36.89536042,127.5314098,0507-1330-5881,11:00~22:00 매주 일요일 휴무,,,
,기타,입력대기,YAM 청주터미널점,충북 청주시 흥덕구 풍년로205번길 9,,36.62964514,127.4300306,043-231-3734,,,,
,기타,입력대기,eden 에덴,강원 철원군 갈말읍 순담길 43,,38.16867121,127.3022419,033-452-7304,,,,
,기타,입력대기,가마골쉼터,충북 단양군 가곡면 새밭로 547-8,,36.99386719,128.4301783,0507-1426-8289,11:30~19:00,,,
,기타,입력대기,가미본가,충북 증평군 증평읍 초중로 97,,36.78160976,127.5730457,043-838-0097,10:00~21:00,,,
,기타,입력대기,가연,충북 단양군 단양읍 삼봉로 87,,36.97917143,128.3533395,043-421-4805,11:00~21:30 매주 수요일 휴무,,,
,기타,입력대기,가족농원,충북 괴산군 문광면 괴산로 2596,,36.74673653,127.7260149,043-833-6692,10:00~22:00,,,
,기타,입력대기,감로정,충북 충주시 탄금대로 266-3,,36.98668898,127.9033253,043-857-7600,10:00~22:00,,,
,기타,입력대기,감자밭,강원 춘천시 신북읍 신샘밭로 674,,37.92959097,127.7845168,,,,,
,기타,입력대기,강대박,충북 옥천군 동이면 옥천로 2286,,36.2697452,127.6186645,0507-1339-3765,11:00 - 21:00//평일 15:00 - 16:00 브레이크타임//20:00 라스트오더,,,
,기타,입력대기,강이네하우스,강원 양양군 서면 상평1길 17-2,,38.06692416,128.5833551,,,,,
,기타,입력대기,강화 갑곶리 탱자나무,인천광역시 강화군 강화읍 동문로 119 (강화읍),,126.4948544,37.75414602,,,연중개방,,2024-06-18
,기타,입력대기,강화 석수문,인천 강화군 강화읍 고비고개로19번길 12,,126.4745728,37.74536636,032-930-4571,00:00~24:00,연중무휴,,2022-02-16
,기타,입력대기,강화 선원사지,인천 강화군 선원면 선원사지로 222,,126.4925077,37.71883963,032-930-3114,00:00~24:00,연중무휴,,2022-02-16
,기타,입력대기,강화 아르미애월드,인천광역시 강화군 불은면 중앙로 742-2,,126.4347558,37.70292593,,"[농경문화관]하절기(3~10월) 09:30~17:30, 동절기(11~2월) 09:30~16:30, [온새미로]하절기(3~10월) 09:00~18:00, 동절기(11~2월) 09:00~17:00","1월 1일, 설/추석 연휴",,2023-10-13
