통합고유ID,통합카테고리,통합소분류,장소명,도로명주소,지번주소,위도,경도,전화번호,운영시간,휴무일,입장가능동물크기,데이터갱신일자
,놀이및쇼핑,쇼핑,007 양평점,경기도 양평군 양평읍 물안개공원길 5-1,,37.49820459,127.4796802,,,,,2025-07-18
,놀이및쇼핑,쇼핑,10꼬르소꼬모 마가찌니 가로수길점,서울특별시 강남구 압구정로10길 9 (신사동),,37.52298749,127.0220236,02-515-0970,,,,2026-02-14
,놀이및쇼핑,쇼핑,10꼬르소꼬모 청담점,"서울특별시 강남구 압구정로 416 (청담동), 1층~2층",,37.52692895,127.0424039,02-3018-1010,,,,2026-02-14
,놀이및쇼핑,쇼핑,2001아울렛 부평점,인천광역시 부평구 경원대로 1277 (산곡동),,37.49078743,126.7100056,,,,,2026-02-16
,놀이및쇼핑,쇼핑,2001아울렛 분당점,경기도 성남시 분당구 미금일로154번길 20 (구미동),,37.34908341,127.1074667,,,,,2026-02-15
,놀이및쇼핑,쇼핑,2001아울렛 안양점,경기도 안양시 만안구 안양로 275 (안양동),,37.3967601,126.9226715,,,,,2026-02-15
,놀이및쇼핑,쇼핑,2001아울렛 중계점,서울특별시 노원구 동일로204가길 46 (중계동),,37.64128649,127.0679074,,,,,2026-02-15
,놀이및쇼핑,쇼핑,306퍼피,광주광역시 서구 마륵로 59,광주광역시 서구 마륵동 496-8,35.14484286,126.838331,0507-1335-1306,월~토 10:00~20:00,매주 일요일,모두 가능,2022-11-30
,놀이및쇼핑,쇼핑,3CE 스타일난다 플래그십스토어 명동점,서울특별시 중구 명동8길 37-8 (충무로2가),,37.56193524,126.9852966,,,,,2026-02-14
,놀이및쇼핑,쇼핑,4층빈티지,서울특별시 마포구 양화로 177 (동교동),,37.55787896,126.9247553,,,,,2026-02-15
,놀이및쇼핑,쇼핑,953공방,부산광역시 남구 용소로13번길 27,부산광역시 남구 대연동 53-8,35.1369211,129.101989,,정보없음,정보없음,모두 가능,2022-11-30
,놀이및쇼핑,쇼핑,ABC마트 GS AK플라자 분당점,"경기도 성남시 분당구 황새울로360번길 42 (서현동), B1층",,37.38510223,127.1227031,,,,,2026-02-15
,놀이및쇼핑,쇼핑,ABC마트 GS AK플라자 수원점,"경기도 수원시 팔달구 덕영대로 924 (매산로1가), 6층",,37.26559208,127.0001799,,,,,2026-02-04
,놀이및쇼핑,쇼핑,ABC마트 GS 대전은행점,대전광역시 중구 중앙로156번길 7 (은행동),,36.32871734,127.4272596,,,,,2026-02-06
,놀이및쇼핑,쇼핑,ABC마트 GS 두타몰점,"서울특별시 중구 장충단로 275 (을지로6가), B1층",,37.56888494,127.0087751,,,,,2026-02-16
,놀이및쇼핑,쇼핑,ABC마트 GS 롯데백화점 김포공항점,서울특별시 강서구 하늘길 지하77 (방화동),,37.56231321,126.8012784,,,,,2026-02-04
,놀이및쇼핑,쇼핑,ABC마트 GS 롯데백화점 에비뉴엘 잠실점,"서울특별시 송파구 올림픽로 300 (신천동), 4층",,37.51371299,127.1043018,,,,,2026-02-14
,놀이및쇼핑,쇼핑,ABC마트 GS 롯데프리미엄아울렛 기흥점,경기도 용인시 기흥구 신고매로 124 (고매동),,37.22554196,127.121284,,,,,2026-02-14
,놀이및쇼핑,쇼핑,ABC마트 GS 부산광복점,부산광역시 중구 광복중앙로 2 (광복동2가),,35.09950911,129.0314632,1588-9667,,,,2026-02-14
,놀이및쇼핑,쇼핑,ABC마트 GS 송도 트리플스트리트점,인천광역시 연수구 송도과학로16번길 33-2 (송도동),,37.38044508,126.6602318,,,,,2026-02-16
,놀이및쇼핑,쇼핑,ABC마트 GS 스타필드 고양점,"경기도 고양시 덕양구 고양대로 1955 (동산동), 3층",,37.64697712,126.8947781,,,,,2026-02-03
,놀이및쇼핑,쇼핑,ABC마트 GS 스타필드 수원점,"경기도 수원시 장안구 수성로 175 (정자동), 5층",,37.28744534,126.9915746,,,,,2026-02-15
,놀이및쇼핑,쇼핑,ABC마트 GS 스타필드 하남점,"경기도 하남시 미사대로 750 (신장동), 3층",,37.54540412,127.2239403,,,,,2026-02-15
,놀이및쇼핑,쇼핑,ABC마트 GS 업스퀘어 울산점,"울산광역시 남구 화합로 185 (삼산동), 4층",,35.54134636,129.3388996,,,,,2026-02-16
,놀이및쇼핑,쇼핑,ABC마트 GS 인천부평점,인천광역시 부평구 부평문화로66번길 17 (부평동),,37.49325143,126.7238541,,,,,2026-02-14
,놀이및쇼핑,쇼핑,ABC마트 GS 타임스퀘어점,"서울특별시 영등포구 영중로 15 (영등포동4가), B1층",,37.51723326,126.903716,,,,,2026-02-14
,놀이및쇼핑,쇼핑,ABC마트 GS 홍대점,서울특별시 마포구 양화로 152 (동교동),,37.55582411,126.9228918,,,,,2026-02-06
,놀이및쇼핑,쇼핑,ABC마트 GS 홍대홍익로점,서울특별시 마포구 홍익로5길 13 (서교동),,37.55415496,126.9215747,,,,,2026-02-16
,놀이및쇼핑,쇼핑,ABC마트 GSA 신제주연동점,제주특별자치도 제주시 신광로 58 (연동),,33.48707988,126.4896544,,,,,2026-02-16
,놀이및쇼핑,쇼핑,ABC마트 MS 강남엔터식스점,"서울특별시 서초구 신반포로 지하188 (반포동), B1층",,37.50492674,127.0049499,,,,,2026-02-16
,놀이및쇼핑,쇼핑,ABC마트 MS 강릉금학점,강원특별자치도 강릉시 금성로42번길 10 (금학동),,37.75380764,128.8958277,,,,,2026-02-03
,놀이및쇼핑,쇼핑,ABC마트 MS 전주객사점,전북특별자치도 전주시 완산구 전주객사5길 36-1 (고사동),,35.81996981,127.145487,,,,,2026-02-02
,놀이및쇼핑,쇼핑,ABC마트 MS대구중앙로역점,대구광역시 중구 동성로 40 (동성로2가),,35.87035359,128.5958145,,,,,2026-02-14
,놀이및쇼핑,쇼핑,ABC마트 SE NC백화점 강서점,"서울특별시 강서구 강서로56길 17 (등촌동), 4층",,37.55993353,126.8404988,,,,,2026-02-15
,놀이및쇼핑,쇼핑,ABC마트 SE 현대프리미엄아울렛 스페이스원점,경기도 남양주시 다산순환로 50 (다산동),,37.61625793,127.1524291,,,,,2026-02-15
,놀이및쇼핑,쇼핑,ABC마트 SP 대전은행점,대전광역시 중구 대종로480번길 20 (은행동),,36.32767332,127.4277897,02-1588-9667,,,,2026-02-14
,놀이및쇼핑,쇼핑,ABC마트 SP 홍대점,서울특별시 마포구 홍익로 17 (서교동),,37.55385149,126.9227863,,,,,2026-02-14
,놀이및쇼핑,쇼핑,ABC마트 ST 2001아울렛 중계점,"서울특별시 노원구 동일로204가길 46 (중계동), 1층",,37.64128649,127.0679074,,,,,2026-02-04
,놀이및쇼핑,쇼핑,ABC마트 ST NC 신구로점,"서울특별시 구로구 구로중앙로 152 (구로동), 3층",,37.50116014,126.882773,02-6923-2285,,,,2026-02-14
,놀이및쇼핑,쇼핑,ABC마트 ST 강변엔터식스점,서울특별시 광진구 광나루로56길 85 (구의동),,37.53572518,127.0956922,02-1588-9667,,,,2026-02-14
,놀이및쇼핑,쇼핑,ABC마트 ST 롯데아울렛 서울역점,"서울특별시 용산구 한강대로 405 (동자동), 4층",,37.5548376,126.9717326,,,,,2026-02-14
,놀이및쇼핑,쇼핑,ABC마트 ST 롯데프리미엄아울렛 김해점,"경상남도 김해시 장유로 469 (신문동), 2층",,35.18506212,128.8295964,,,,,2026-02-15
,놀이및쇼핑,쇼핑,ABC마트 ST 롯데프리미엄아울렛 파주점,"경기도 파주시 문발로 302 (문발동), 3층",,37.71967815,126.693171,,,,,2026-02-14
,놀이및쇼핑,쇼핑,ABC마트 ST 모다아울렛 인천점,"인천광역시 서구 북항로32번안길 50 (원창동), 3층",,37.50991912,126.647725,,,,,2026-02-14
,놀이및쇼핑,쇼핑,ABC마트 ST 부산광복점,부산광역시 중구 광복로 73-1 (광복동2가),,35.09879185,129.0330714,1588-9667,,,,2026-02-14
,놀이및쇼핑,쇼핑,ABC마트 ST 서귀포점,제주특별자치도 서귀포시 중정로91번길 2 (서귀동),,33.24865151,126.5661049,,,,,2026-02-14
,놀이및쇼핑,쇼핑,ABC마트 ST 서울대입구역점,서울특별시 관악구 관악로 172 (봉천동),,37.48051271,126.9529494,02-1588-9667,,,,2026-02-14
,놀이및쇼핑,쇼핑,ABC마트 ST 신세계사이먼프리미엄아울렛 시흥점,경기도 시흥시 서해안로 699 (배곧동),,37.3796756,126.7369853,,,,,2026-02-13
,놀이및쇼핑,쇼핑,ABC마트 ST 연신내역점,서울특별시 은평구 연서로 226 (대조동),,37.6182861,126.9203863,,,,,2026-02-14
,놀이및쇼핑,쇼핑,ABC마트 ST 이태원점,서울특별시 용산구 이태원로 159-1 (이태원동),,37.5345446,126.9916684,,,,,2026-02-14
,놀이및쇼핑,쇼핑,ABC마트 ST 현대아울렛 가든파이브점,서울특별시 송파구 충민로 66 (문정동),,37.47761484,127.1249618,,,,,2026-02-14
,놀이및쇼핑,쇼핑,ABC마트 ST 현대아울렛 가산점,"서울특별시 금천구 디지털로10길 9 (가산동), 5층",,37.47761902,126.8890553,,,,,2026-02-14
,놀이및쇼핑,쇼핑,ABC마트 롯데몰 은평점,"서울특별시 은평구 통일로 1050 (진관동), 3층",,37.63753667,126.9179003,,,,,2026-02-14
,놀이및쇼핑,쇼핑,ABC마트 롯데프리미엄아울렛 동부산점,"부산광역시 기장군 기장읍 기장해안로 147, 1층",,35.19232298,129.2124953,,,,,2026-02-06
,놀이및쇼핑,쇼핑,ABC마트 현대아울렛 동대문점,서울특별시 중구 장충단로13길 20 (을지로6가),,37.56873455,127.0076665,,,,,2026-02-16
,놀이및쇼핑,쇼핑,ABC마트 현대프리미엄아울렛 김포점,"경기도 김포시 고촌읍 아라육로152번길 100, 3층",,37.59723685,126.7852336,,,,,2026-02-13
,놀이및쇼핑,쇼핑,AK PLAZA 홍대,서울특별시 마포구 양화로 188 (동교동),,37.55779878,126.9265121,,,,,2025-11-27
,놀이및쇼핑,쇼핑,AK골프 롯데몰 광명점,"경기도 광명시 일직로 17 (일직동), 4층",,37.424311,126.88278,,,,,2026-02-13
,놀이및쇼핑,쇼핑,AK골프 롯데백화점 본점,서울특별시 중구 남대문로 81 (소공동),,37.5647299,126.9817304,,,,,2026-02-16
,놀이및쇼핑,쇼핑,AK플라자 광명점,경기도 광명시 양지로 17 (일직동),,37.41868074,126.8828897,,,,,2026-02-19
,놀이및쇼핑,쇼핑,AK플라자 수원,경기도 수원시 팔달구 덕영대로 924 (매산로1가),,37.26559208,127.0001799,,,,,2026-02-04
,놀이및쇼핑,쇼핑,AK플라자 원주,강원특별자치도 원주시 봉화로 1 (단계동),,37.34573027,127.9276496,,,,,2026-02-13
,놀이및쇼핑,쇼핑,AK플라자 평택,경기도 평택시 평택로 51 (평택동),,36.99189748,127.0832887,,,,,2026-02-14
,놀이및쇼핑,쇼핑,APC 롯데프리미엄아울렛 파주점,"경기도 파주시 문발로 302 (문발동), 2층",,37.71967815,126.693171,,,,,2026-02-15
,놀이및쇼핑,쇼핑,ARTAGE,서울특별시 강남구 언주로168길 7 (신사동),,37.52656859,127.0342216,02-549-5482,,,,2026-02-14
,놀이및쇼핑,쇼핑,AZI 아지,서울특별시 마포구 월드컵로1길 14,서울특별시 마포구 합정동 472,37.5500498,126.912061,02-325-5531,"월 12:00~19:00, 수~금 12:00~19:00, 토 12:00~18:00","매주 화, 일",모두 가능,2022-11-30
,놀이및쇼핑,쇼핑,Apple 가로수길,서울특별시 강남구 가로수길 43 (신사동),,37.52087958,127.02261,080-500-0029,,,,2026-02-14
,놀이및쇼핑,쇼핑,Atelier de Cemoment,"서울특별시 용산구 대사관로 25 (한남동), 3층",,37.53389554,127.0011935,,,,,2026-02-14
,놀이및쇼핑,쇼핑,BCBG 2001아울렛 중계점,"서울특별시 노원구 동일로204가길 46 (중계동), 3층",,37.64128649,127.0679074,,,,,2026-02-04
,놀이및쇼핑,쇼핑,BCBG NC 신구로점,서울특별시 구로구 구로중앙로 152 (구로동),,37.50116014,126.882773,02-6923-2187,,,,2026-02-14
,놀이및쇼핑,쇼핑,BCBG 롯데프리미엄아울렛 김해점,"경상남도 김해시 장유로 469 (신문동), 1층",,35.18506212,128.8295964,,,,,2026-02-14
,놀이및쇼핑,쇼핑,BCBG 엠백화점 춘천점,강원특별자치도 춘천시 금강로 68-9 (조양동),,37.87853142,127.728565,,,,,2026-02-13
,놀이및쇼핑,쇼핑,BCBG 현대프리미엄아울렛 김포점,경기도 김포시 고촌읍 아라육로152번길 100,,37.59723685,126.7852336,,,,,2026-02-13
,놀이및쇼핑,쇼핑,BCBG/ALL&Sundry 현대프리미엄아울렛 송도점,인천광역시 연수구 송도국제대로 123 (송도동),,37.3816291,126.657917,,,,,2026-02-14
,놀이및쇼핑,쇼핑,BCBG올앤썬드리 롯데아울렛 남악점,"전라남도 무안군 삼향읍 남악로162번길 80, 1층",,34.80361609,126.4646909,,,,,2026-02-14
,놀이및쇼핑,쇼핑,BCBG올앤썬드리 롯데프리미엄아울렛 동부산점,"부산광역시 기장군 기장읍 기장해안로 147, 2층",,35.19232298,129.2124953,051-901-2403,,,,2026-02-14
,놀이및쇼핑,쇼핑,BOAST BROTHERS,"서울특별시 강서구 마곡동로4길 23 (마곡동), 1층",,37.55964311,126.836199,,,,,2026-02-14
,놀이및쇼핑,쇼핑,BOB 애완용품전문점 목동점,서울특별시 양천구 목동로15길 5,서울특별시 양천구 신정동 1005-7,37.52402406,126.864066,02-2606-9645,"월~토 10:00~21:00, 일 11:00~20:00",연중무휴,모두 가능,2022-11-30
,놀이및쇼핑,쇼핑,BOB 영등포점,서울특별시 영등포구 신길로 243,서울특별시 영등포구 영등포동 602-6,37.51370502,126.910831,0507-1432-5500,매일 00:00~24:00,연중무휴,모두 가능,2022-11-30
,놀이및쇼핑,쇼핑,BOB애완용품아울렛 매곡본점,광주광역시 북구 설죽로 351,광주광역시 북구 매곡동 3,35.19085661,126.898905,062-574-1072,매일 09:00~21:00,연중무휴,모두 가능,2022-11-30
,놀이및쇼핑,쇼핑,BOB애완용품아울렛 여수점,전라남도 여수시 망마로 79,전라남도 여수시 신기동 117-8,34.75828805,127.671294,061-920-0900,매일 10:00~21:00,연중무휴,모두 가능,2022-11-30
,놀이및쇼핑,쇼핑,BOB애완용품아울렛 중흥점,광주광역시 북구 서방로 32,광주광역시 북구 중흥동 286-5,35.17292112,126.916344,062-511-1072,매일 10:00~21:00,연중무휴,모두 가능,2022-11-30
,놀이및쇼핑,쇼핑,BOB애완용품전문점 온천점,부산광역시 동래구 금강로 109,부산광역시 동래구 온천동 209-2,35.21857313,129.079353,070-4189-7025,월~토 12:00~20:00,매주 일요일,모두 가능,2022-11-30
,놀이및쇼핑,쇼핑,BOB애완용품전문점 중동점,경기도 부천시 신흥로 252,경기도 부천시 중동 1061-1,37.50620553,126.77576,032-327-1331,매일 10:00~21:00,연중무휴,모두 가능,2022-11-30
,놀이및쇼핑,쇼핑,BOB애완용품점,서울특별시 양천구 곰달래로6길 8,서울특별시 양천구 신월동 225-8,37.52915321,126.83495,02-2699-0829,"월~금 08:30~21:00 , 토 08:30~19:00",매주 일요일,모두 가능,2022-11-30
,놀이및쇼핑,쇼핑,BOB애완용품할인점,서울특별시 강북구 한천로 1058,서울특별시 강북구 수유동 178-25,37.64138586,127.025268,02-908-4070,정보없음,정보없음,모두 가능,2022-11-30
,놀이및쇼핑,쇼핑,BOSE 신세계사이먼프리미엄아울렛 파주점,"경기도 파주시 탄현면 필승로 200, 3층",,37.76935123,126.6953853,,,,,2026-02-05
,놀이및쇼핑,쇼핑,BYC 명동점,강원특별자치도 춘천시 명동길 26 (중앙로2가),,37.87861321,127.7261325,,,,,2026-02-15
,놀이및쇼핑,쇼핑,BYN팩토리아울렛 가산점,서울특별시 금천구 디지털로9길 99 (가산동),,37.48167752,126.8848144,,,,,2026-02-15
,놀이및쇼핑,쇼핑,CAN,강원특별자치도 원주시 무실로 12 (일산동),,37.34877155,127.9487496,,,,,2026-02-13
,놀이및쇼핑,쇼핑,CC콜렉트 롯데몰 광교점,"경기도 수원시 영통구 도청로 10 (이의동), 1층",,37.28666965,127.0554484,,,,,2026-02-04
,놀이및쇼핑,쇼핑,CC콜렉트 롯데아울렛 고양터미널점,"경기도 고양시 일산동구 중앙로 1036 (백석동), 1층",,37.64313491,126.7897974,,,,,2026-02-03
,놀이및쇼핑,쇼핑,CC콜렉트 롯데프리미엄아울렛 파주점,경기도 파주시 문발로 284 (문발동),,37.71809262,126.6925491,,,,,2026-02-05
,놀이및쇼핑,쇼핑,CH캐롤리나헤레라 롯데백화점 본점 에비뉴엘,"서울특별시 중구 남대문로 73 (남대문로2가), 3층",,37.56424509,126.9817815,,,,,2026-02-14
,놀이및쇼핑,쇼핑,CK 신세계사이먼프리미엄아울렛 파주점,경기도 파주시 탄현면 필승로 200,,37.76935123,126.6953853,,,,,2026-02-03
,놀이및쇼핑,쇼핑,COS 갤러리아백화점 광교점,"경기도 수원시 영통구 광교중앙로 124 (하동), 3층",,37.285251,127.0574549,,,,,2026-02-15
,놀이및쇼핑,쇼핑,COS 갤러리아백화점 타임월드점,"대전광역시 서구 대덕대로 211 (둔산동), 3층",,36.3519543,127.378167,,,,,2026-02-15
,놀이및쇼핑,쇼핑,COS 롯데백화점 동탄점,"경기도 화성시 동탄구 동탄역로 160 (오산동), 2층",,37.20066636,127.0982031,,,,,2026-02-16
,놀이및쇼핑,쇼핑,COS 신사가로수점,서울특별시 강남구 압구정로10길 18 (신사동),,37.52240296,127.0218039,,,,,2026-02-15
,놀이및쇼핑,쇼핑,COS 청담점,서울특별시 강남구 압구정로 418 (청담동),,37.52702471,127.042699,,,,,2026-02-04
,놀이및쇼핑,쇼핑,COS 타임스퀘어점,"서울특별시 영등포구 영중로 15 (영등포동4가), 2층",,37.51723326,126.903716,,,,,2026-02-14
,놀이및쇼핑,쇼핑,COS 현대백화점 무역센터점,"서울특별시 강남구 테헤란로 517 (삼성동), 5층",,37.50861513,127.0597651,,,,,2026-02-15
,놀이및쇼핑,쇼핑,CP컴퍼니 서울 플래그십 스토어,"서울특별시 강남구 도산대로45길 18-2 (신사동), 1층",,37.52360837,127.0356856,,,,,2026-02-15
,놀이및쇼핑,쇼핑,CSO게코,충청남도 천안시 동남구 목천읍 신계1길 41,충청남도 천안시 동남구 목천읍 신계리 422,36.77342787,127.193063,0507-1425-2325,매일 14:00~22:00,연중무휴,모두 가능,2022-11-30
,놀이및쇼핑,쇼핑,CU M부산서면환승역점,부산광역시 부산진구 중앙대로 지하730 (부전동),,35.15776406,129.0590358,,,,,2026-02-15
,놀이및쇼핑,쇼핑,CU 남서울대학생회관점,"충청남도 천안시 서북구 성환읍 대학로 91, B1층",,36.91091373,127.1436195,,,,,2026-02-14
,놀이및쇼핑,쇼핑,CU 뉴성수프리미어점,서울특별시 성동구 서울숲길 49 (성수동1가),,37.54816099,127.0430002,,,,,2026-02-14
,놀이및쇼핑,쇼핑,CU 당곡역점,서울특별시 관악구 봉천로 241 (봉천동),,37.48949139,126.9285986,,,,,2026-02-15
,놀이및쇼핑,쇼핑,CU 동서대2호점,부산광역시 사상구 가야대로330번길 89 (주례동),,35.14678551,129.0093993,,,,,2026-02-15
,놀이및쇼핑,쇼핑,CU 마포SK점,"서울특별시 마포구 마포대로 73 (도화동), 1층",,37.5423232,126.9489775,,,,,2026-02-15
,놀이및쇼핑,쇼핑,CU 마포아이비점,"서울특별시 마포구 서강로 136 (노고산동), B1층",,37.55404551,126.9357917,,,,,2026-02-15
,놀이및쇼핑,쇼핑,CU 마포양화공원점,서울특별시 마포구 포은로 29 (합정동),,37.55033939,126.9079467,,,,,2026-02-16
,놀이및쇼핑,쇼핑,CU 부평광복로점,"부산광역시 중구 광복로 22-1 (부평동1가), 1층",,35.09930841,129.0274382,,,,,2026-02-14
,놀이및쇼핑,쇼핑,CU 서면브릭스점,부산광역시 부산진구 동천로95번길 21 (부전동),,35.15714875,129.061033,,,,,2026-02-15
,놀이및쇼핑,쇼핑,CU 성동금호점,서울특별시 성동구 장터길 34 (금호동4가),,37.5481744,127.0196126,,,,,2026-02-16
,놀이및쇼핑,쇼핑,CU 신설교보점,"서울특별시 동대문구 왕산로 10 (신설동), 교보재단빌딩 1층",,37.57589212,127.024866,,,,,2026-02-14
,놀이및쇼핑,쇼핑,CU 신촌까사빌점,"서울특별시 마포구 서강로 135 (노고산동), 1층",,37.55451671,126.9354223,,,,,2026-02-15
,놀이및쇼핑,쇼핑,CU 연남PMK점,서울특별시 마포구 연남로 10 (연남동),,37.56072775,126.9233857,,,,,2026-02-16
,놀이및쇼핑,쇼핑,CU 울산삼산점,울산광역시 남구 삼산로277번길 10 (삼산동),,35.54029724,129.3372423,,,,,2026-02-16
,놀이및쇼핑,쇼핑,CU 자양본점,대전광역시 동구 동대전로 164 (자양동),,36.33645411,127.4475738,,,,,2026-02-15
,놀이및쇼핑,쇼핑,CU 장대중앙점,"대전광역시 유성구 문화원로6번길 47 (장대동), 1층",,36.35990736,127.3371267,,,,,2026-02-15
,놀이및쇼핑,쇼핑,CU 장전온천천로점,"부산광역시 금정구 장전온천천로 127 (장전동, 서주빌라)",,35.23625437,129.0884065,,,,,2026-02-15
,놀이및쇼핑,쇼핑,CU 제주애월한담점,제주특별자치도 제주시 애월읍 애월로 37,,33.46217615,126.3122702,,,,,2026-02-14
,놀이및쇼핑,쇼핑,CU 제주열린점,제주특별자치도 제주시 삼무로 11 (연동),,33.49021107,126.4879823,,,,,2026-02-14
,놀이및쇼핑,쇼핑,CU 제주항국제여객터미널,제주특별자치도 제주시 임항로 191 (건입동),,33.52583738,126.5440785,,,,,2026-02-14
,놀이및쇼핑,쇼핑,CU 중구이리스점,부산광역시 중구 대교로 141 (중앙동5가),,35.10259641,129.0372472,,,,,2026-02-14
,놀이및쇼핑,쇼핑,CU 중앙박물관점,"서울특별시 용산구 서빙고로 137 (용산동6가), 1층",,37.52470224,126.9777402,,,,,2026-02-16
,놀이및쇼핑,쇼핑,CU 창전숲길점,"서울특별시 마포구 와우산로32길 25 (동교동), 1층",,37.55476746,126.9315804,,,,,2026-02-14
,놀이및쇼핑,쇼핑,CU 청담삼환점,"서울특별시 강남구 학동로77길 49 (청담동, 삼환아파트)",,37.52212834,127.0475662,02-522-1618,,,,2026-02-14
,놀이및쇼핑,쇼핑,CU 한국외국어대학교점,서울특별시 동대문구 이문로 107 (이문동),국제한사이문동,37.59829668,127.0579424,,,,,2026-02-14
,놀이및쇼핑,쇼핑,CU 현대테라스타워점,서울특별시 성동구 연무장5가길 7 (성수동2가),,37.54408627,127.0536716,,,,,2026-02-16
,놀이및쇼핑,쇼핑,CU 홍대동교로점,서울특별시 마포구 동교로 190 (동교동),,37.55707536,126.9225272,,,,,2026-02-15
,놀이및쇼핑,쇼핑,CU 홍대상상점,"서울특별시 마포구 잔다리로 25 (서교동), 1층",,37.55084448,126.9200537,,,,,2026-02-16
,놀이및쇼핑,쇼핑,CU 홍대서교점,서울특별시 마포구 와우산로29길 70 (서교동),,37.55636572,126.9265961,,,,,2026-02-16
,놀이및쇼핑,쇼핑,CU 홍익인간점,서울특별시 마포구 양화로 183 (동교동),,37.55836755,126.9251484,,,,,2026-02-15
,놀이및쇼핑,쇼핑,DC홈마트,인천광역시 남동구 백범로 312-1,인천광역시 남동구 간석동 41-1,37.46388365,126.715343,032-424-2101,매일 09:00~22:30,연중무휴,모두 가능,2022-11-30
,놀이및쇼핑,쇼핑,DKNY 롯데프리미엄아울렛 파주점,경기도 파주시 회동길 390 (문발동),,37.71781927,126.6937616,,,,,2026-02-05
,놀이및쇼핑,쇼핑,DKNY 신세계사이먼프리미엄아울렛 여주점,경기도 여주시 명품로 360 (상거동),,37.2459467,127.6123854,,,,,2026-02-04
,놀이및쇼핑,쇼핑,EE플레이스 삼정타워점,"부산광역시 부산진구 중앙대로 672 (부전동), 3층",,35.15300622,129.0596063,,,,,2026-02-15
,놀이및쇼핑,쇼핑,F.G.F 현대프리미엄아울렛 김포점,"경기도 김포시 고촌읍 아라육로152번길 100, 2층",,37.59723685,126.7852336,,,,,2026-02-15
,놀이및쇼핑,쇼핑,F.G.F종합관 롯데프리미엄아울렛 이천점,"경기도 이천시 호법면 프리미엄아울렛로 177-74, 2층",,37.24222688,127.4000261,,,,,2026-02-15
,놀이및쇼핑,쇼핑,GBH FLAGSHIP STORE,서울특별시 서초구 서초대로32길 1 (방배동),,37.48850056,126.9971768,,,,,2026-02-16
