통합고유ID,통합카테고리,통합소분류,장소명,도로명주소,지번주소,위도,경도,전화번호,운영시간,휴무일,입장가능동물크기,데이터갱신일자
,반려동물서비스,동물장묘업,(주) 하늘펫,광주광역시 광산구 평동매화길 34 (지죽동),광주광역시 광산구 지죽동 409-14번지,,,062-946-2626,,,,2018-12-06 2:40
,반려동물서비스,동물장묘업,(주)더포에버,인천광역시 서구 설원로 79 (대곡동),인천광역시 서구 대곡동 361-2,,,317135002,,,,2024-06-23 2:40
,반려동물서비스,동물장묘업,(주)동물사랑 대구러브펫,대구광역시 달서구 문화회관9길 71 (장동),대구광역시 달서구 장동 50번지,,,053-593-4900,,,,2018-08-31 23:59
,반려동물서비스,동물장묘업,(주)모모리아,경상북도 구미시 옥성면 이곡3길 69,경상북도 구미시 옥성면 농소리 950-1,,,,,,,2025-10-25 2:40
,반려동물서비스,동물장묘업,(주)반려동물 장례지원단,대전광역시 동구 모암로 128-6 (이사동),대전광역시 동구 이사동 290-2,,,,,,,2025-10-25 2:40
,반려동물서비스,동물장묘업,(주)젠틀펫,경상북도 경산시 한의대로 124 (점촌동),경상북도 경산시 점촌동 60-1,,,,,,,2025-03-19 2:40
,반려동물서비스,동물장묘업,(주)젠틀펫,경상북도 문경시 문경읍 문경대로 2430,경상북도 문경시 문경읍 진안리 350-4,,,,,,,2024-07-26 2:40
,반려동물서비스,동물장묘업,(주)좋은친구들,충청남도 공주시 우성면 보흥2길 36-61,,,,,,,,2018-08-31 23:59
,반려동물서비스,동물장묘업,(주)펫노블레스,경상남도 양산시 상북면 공원로3길 19-91,경상남도 양산시 상북면 상삼리 산 17-3,,,055-374-4400,,,,2024-08-22 2:40
,반려동물서비스,동물장묘업,(주)펫바라기,경기도 고양시 일산동구 은마길63번길 25-2 (설문동),경기도 고양시 일산동구 설문동 515-1,,,031-976-3179,,,,2024-10-24 2:40
,반려동물서비스,동물장묘업,(주)하늘정원,광주광역시 광산구 체암로 1685-2 (양동),광주광역시 광산구 양동 684-4,,,627142979,,,,2025-01-05 0:11
,반려동물서비스,동물장묘업,(주)해피엔딩,경기도 광주시 초월읍 지월로100번길 18,경기도 광주시 초월읍 지월리 134,,,,,,,2025-05-25 2:40
,반려동물서비스,동물장묘업,21그램 반려동물 장례식장 남양주점,경기도 남양주시 화도읍 수레로964번길 86,경기도 남양주시 화도읍 차산리 856-1,,,1688-1240,,,,2026-01-29 2:40
,반려동물서비스,동물장묘업,21그램 반려동물 장례식장 천안아산점,충청남도 천안시 동남구 광풍로 1668 (구룡동),충청남도 천안시 동남구 구룡동 481,,,,,,,2026-01-31 2:40
,반려동물서비스,동물장묘업,21그램 반려동물장례식장,경기도 광주시 매자리길 185-35 (매산동),경기도 광주시 매산동 139,,,02-401-3384,,,,2026-01-29 2:40
,반려동물서비스,동물장묘업,ROYHILLS,경기도 양평군 양동면 양동금곡4길 10,경기도 양평군 양동면 삼산리 18,,,1855-2004,,,,2023-09-09 0:18
,반려동물서비스,동물장묘업,㈜펫문,"서울특별시 마포구 성지5길 19, 3층 (합정동)",서울특별시 마포구 합정동 370-39,,,02-322-1004,,,,2025-06-19 2:40
,반려동물서비스,동물장묘업,강릉펫사랑(장례식장),강원특별자치도 강릉시 사천면 구라미길 376,강원특별자치도 강릉시 사천면 석교리 779,,,645-8888,,,,2023-06-13 0:00
,반려동물서비스,동물장묘업,강아지 펫 헤븐,경상북도 성주군 선남면 관용로 427,경상북도 성주군 선남면 오도리 91,,,,,,,2022-01-13 2:40
,반려동물서비스,동물장묘업,경북반려동물장례식장,경상북도 김천시 봉산면 영남대로 353,경상북도 김천시 봉산면 신암리 396,,,,,,,2024-08-18 2:40
,반려동물서비스,동물장묘업,굿바이펫,충청북도 제천시 봉양읍 장평로 95,충청북도 제천시 봉양읍 장평리 37-1번지,,,043-642-1537,,,,2019-12-12 2:40
,반려동물서비스,동물장묘업,대전 이별공간,"충청북도 옥천군 이원면 이원로 47, 음식점",충청북도 옥천군 이원면 평계리 992-2 음식점,,,,,,,2024-08-24 2:40
,반려동물서비스,동물장묘업,러브펫 반려동물장례식장,경기도 광주시 초월읍 현산로361번길 12,경기도 광주시 초월읍 지월리 712-10,,,031-796-4341,,,,2024-04-07 2:40
,반려동물서비스,동물장묘업,러블리엔젤,충청북도 청주시 서원구 남이면 구미1길 37-47,충청북도 청주시 서원구 남이면 구미리 233-1,,,043-264-2666,,,,2024-06-21 2:40
,반려동물서비스,동물장묘업,리멤버반려동물장례식장,경기도 용인시 처인구 남사읍 원암로 535,경기도 용인시 처인구 남사읍 방아리 883-3,,,,,,,2026-01-09 2:40
,반려동물서비스,동물장묘업,리멤버파크,충청남도 논산시 연산면 계백로 2172-13,충청남도 논산시 연산면 청동리 16,,,041-735-1700,,,,2020-10-24 2:40
,반려동물서비스,동물장묘업,리틀포즈 반려동물 장례식장,대구광역시 군위군 부계면 부흥로 118,대구광역시 군위군 부계면 창평리 812,,,,,,,2024-09-06 0:13
,반려동물서비스,동물장묘업,메리온,경상남도 양산시 상북면 오룡길 152,경상남도 양산시 상북면 외석리 462-2,,,055-374-6503,,,,2021-01-22 2:40
,반려동물서비스,동물장묘업,몽몽이엠파크 반려동물장례식장,경기도 남양주시 화도읍 모꼬지로17번길 136,경기도 남양주시 화도읍 구암리 305,,,1811-1336,,,,2025-09-05 2:40
,반려동물서비스,동물장묘업,반려마루 추모관,경기도 여주시 명품로 355 (상거동),경기도 여주시 상거동 380-5,,,3180304482,,,,2026-01-25 0:20
,반려동물서비스,동물장묘업,백꽃사랑하이빛,경기도 광주시 곤지암읍 신만로 305,경기도 광주시 곤지암읍 부항리 236,,,,,,,2020-07-18 2:40
,반려동물서비스,동물장묘업,별다만 광주전남,전라남도 나주시 다도면 다도로 857,"전라남도 나주시 다도면 신동리 76 , 467-46",,,061-337-1230,,,,2026-01-16 2:40
,반려동물서비스,동물장묘업,별이되다,경상남도 김해시 생림면 나전로137번길 31,경상남도 김해시 생림면 나전리 1065-8,,,,,,,2024-07-10 2:40
,반려동물서비스,동물장묘업,서래안 펫타운,"전북특별자치도 군산시 서래안1길 11, 2층 (경암동)",전북특별자치도 군산시 경암동 570-39,,,,,,,2024-01-19 1:16
,반려동물서비스,동물장묘업,센트럴파크(주),부산광역시 기장군 일광면 차양길 175,부산광역시 기장군 일광면 동백리 383-2,,,051-728-5411,,,,2021-07-30 2:40
,반려동물서비스,동물장묘업,순천 반려동물장례식장 하늘별,"전라남도 순천시 별량면 송산길 259, 펫하늘별",전라남도 순천시 별량면 대룡리 1189-1 펫하늘별,,,,,,,2024-01-18 2:40
,반려동물서비스,동물장묘업,스마일 어게인,충청북도 영동군 추풍령면 작동1길 81,충청북도 영동군 추풍령면 작점리 148,,,1544-9262,,,,2021-01-21 2:40
,반려동물서비스,동물장묘업,스윗드림 펫,경상북도 칠곡군 가산면 다부거문1길 51-68,경상북도 칠곡군 가산면 다부리 651,,,549742220,,,,2025-12-10 2:40
,반려동물서비스,동물장묘업,스타펫,경기도 포천시 내촌면 진금로 34,경기도 포천시 내촌면 진목리 225,,,,,,,2021-12-01 2:40
,반려동물서비스,동물장묘업,스토리펫,경기도 화성시 효행구 정남면 서봉로851번길 83,경기도 화성시 효행구 정남면 문학리 663,,,031-353-5579,,,,2026-02-01 11:42
