통합고유ID,통합카테고리,통합소분류,장소명,도로명주소,지번주소,위도,경도,전화번호,운영시간,휴무일,입장가능동물크기,데이터갱신일자
,숙박및여행,숙박,(사)한국천연염색 숨(보성천연염색공예관 숨),전라남도 보성군 복내면 개기로 1529-45,,34.90812462,127.118332,,,,,2025-07-31
,숙박및여행,숙박,365행복펜션,강원 정선군 북평면 장열길 83-2,,37.45649671,128.6831334,,,,,
,숙박및여행,숙박,369펜션,제주특별자치도 제주시 조천읍 와흘로 369,제주특별자치도 제주시 조천읍 와흘리 243,33.47371025,126.645997,064-726-8266,매일 16:00~11:00,연중무휴,10kg 미만,2022-11-30
,숙박및여행,숙박,88스테이,충북 청주시 흥덕구 직지대로635번길 1,,36.64377274,127.4635367,0507-1472-1998,,,,
,숙박및여행,숙박,AT비지니스호텔,경상남도 창원시 성산구 용지로 102 개나리종합상가,,35.22451927,128.6783759,055-266-3600,,,,2025-01-22
,숙박및여행,숙박,CF모텔,경상남도 남해군 남해읍 화전로122번길 28,,34.84206211,127.897057,055-864-6678,,,,2024-07-31
,숙박및여행,숙박,CU 장안관광호텔점,서울특별시 동대문구 천호대로 377 (장안동),,37.56233423,127.0609886,,,,,2026-02-14
,숙박및여행,숙박,GEE호텔,충북 청주시 청원구 오창읍 중심상업2로 47-23,,36.71577756,127.4307952,0507-1482-1700,,,,
,숙박및여행,숙박,GEO키즈글램핑,경기도 포천시 이동면 금강로 6561,경기도 포천시 이동면 도평리 585-6,38.11049678,127.396904,,매일 15:00~11:00,연중무휴,소형/중형,2022-11-30
,숙박및여행,숙박,GRIDA(그리다 리조트),전라남도 여수시 돌산읍 강남해안로 60,,34.72024256,127.7454595,,,,,2024-11-26
,숙박및여행,숙박,H moment 펜션,부산광역시 해운대구 송정해변로 4,부산광역시 해운대구 송정동 288-1,35.18127775,129.20534,0507-1407-7356,매일 15:00~11:00,연중무휴,5kg 이하,2022-11-30
,숙박및여행,숙박,H호텔세종시티,충북 청주시 흥덕구 오송읍 오송생명로 178,,36.63140864,127.3287551,0507-1354-4800,,,,
,숙박및여행,숙박,J모텔,충북 괴산군 괴산읍 괴강로 203,,36.80985731,127.8159473,0507-1398-1110,,,,
,숙박및여행,숙박,K7 호텔,충북 청주시 흥덕구 풍년로205번길 33,,36.62868241,127.4298945,0507-1473-6970,,,,
,숙박및여행,숙박,M시네마모텔,충북 청주시 흥덕구 짐대로60번길 9-1,,36.63138816,127.4284648,0507-1491-6102,,,,
,숙박및여행,숙박,NU이틀호텔,충북 청주시 흥덕구 충대로14번길 33,,36.63414625,127.4550752,043-276-5501,,,,
,숙박및여행,숙박,SEOSUNYA,전라북도 전주시 완산구 동문길 19-6,전라북도 전주시 완산구 풍남동2가 27-2,35.81906484,127.15269,0507-1331-5985,매일 15:00~10:30,연중무휴,해당없음,2025-03-24
,숙박및여행,숙박,SL호텔 강릉,강원 강릉시 주문진읍 주문로 59,,37.88921425,128.8254362,033-920-1800,,,,
,숙박및여행,숙박,Stay Vibe,"서울특별시 종로구 평창1길 7-4 (평창동), 2층",,37.60523281,126.9635768,0507-1414-2388,,,,2024-12-18
