통합고유ID,통합카테고리,통합소분류,장소명,도로명주소,지번주소,위도,경도,전화번호,운영시간,휴무일,입장가능동물크기,데이터갱신일자
,식음료,음식점,25시가든,충북 청주시 청원구 내수읍 신기초정로 675-14,,36.72032881,127.5991017,043-212-0300,11:30 - 13:30//매주 일요일 정기휴무,,,
,식음료,음식점,FRANK BURGER(프랭크버거),경기도 안산시 단원구 화랑로 102,,37.32630696,126.8003916,031-493-4349,"(조사지 수정)월,수,목,금,토,일 11:00~22:00, 화 11:00~21:00",연중무휴,,2022-12-09 12:00
,식음료,음식점,GS25,경기도 안산시 단원구 신천로 18,,37.33633649,126.7947638,031-493-7856,00:00~24:00,연중무휴,,2022-12-09 12:00
,식음료,음식점,KAMCHA,서울특별시 강남구 강남대로156길 30,서울특별시 강남구 신사동 516-5,37.518651,127.021661,0507-1419-8054,월-금 11시-20시,,,2022-11-30
,식음료,음식점,THAO ANH QUAN,경기도 포천시 솔모루로 102,경기도 포천시 소흘읍 송우리 106-6,37.830032,127.148493,0507-1317-3990,월-금 11시-22시,,,2022-11-30
,식음료,음식점,simumu,경기도 안산시 단원구 원선1로 9,,37.32440839,126.8011079,미집계,10:00~20:00,"월, 화",,2022-12-09 12:00
,식음료,음식점,가고픈흙집,충북 단양군 단성면 양당1길 75,,36.89980202,128.247271,0507-1313-8595,,,,
,식음료,음식점,가덕한우식당,충북 청주시 상당구 남일면 단재로 940,,36.5628598,127.529355,043-237-1111,10:00 - 21:00,,,
,식음료,음식점,가마실식당,충북 영동군 영동읍 동정로 58,,36.17424698,127.7876317,043-745-6210,11:30~22:00,,,
,식음료,음식점,가선식당,충북 영동군 양산면 금강로 760,,36.12489019,127.6009515,043-743-8665,09:30~18:00,,,
,식음료,음식점,가화한정식,충북 청주시 청원구 내덕로 27,,36.65708542,127.4833576,043-221-0231,"10:00 - 22:00//매달 1, 3번째 화요일 정기 휴무",,,
,식음료,음식점,갈매기다방,강원특별자치도 강릉시 연곡면 영진길 63,,37.87037334,128.843004,010-9110-1874,,,,2024-07-30
,식음료,음식점,갈매기식당,충북 단양군 대강면 단양로 74,,36.92121775,128.3646489,043-422-7378,11:30~20:00,,,
,식음료,음식점,갑돌갈비,충북 영동군 영동읍 계산로2길 5-23,,36.17330015,127.780207,043-744-1268,11:30 - 22:00//14:00 - 17:00 브레이크타임//20:30 라스트오더//매주 월요일 정기휴무,,,
,식음료,음식점,강가가든,충북 옥천군 동이면 우산로 406,,36.27771926,127.6770841,043-733-1460,10:00~19:00,,,
,식음료,음식점,강계화청국장,충북 충주시 금제7길 10 (금릉동),,36.988718,127.926997,043-855-5113,08:00~21:00,,,
,식음료,음식점,강남면옥,충북 청주시 흥덕구 가로수로 1367,,36.6343111,127.4450232,0507-1325-3015,11:00 - 21:30//21:10 라스트오더,,,
,식음료,음식점,강릉 중화짬뽕빵,강원특별자치도 강릉시 금성로13번길 17 (성남동),,37.75335745,128.9001719,0507-1333-6812,,,,2025-09-15
,식음료,음식점,강릉 한우타운,강원특별자치도 강릉시 창해로 283 (강문동),,37.78942872,128.9228132,033-652-9289,,,,2025-09-12
,식음료,음식점,강릉김군박군횟집,강원특별자치도 강릉시 난설헌로 203-18 (초당동),,37.7925976,128.9126696,033-642-1331,,,,2025-10-23
,식음료,음식점,강산숯불닭갈비막국수,강원 춘천시 신북읍 신샘밭로 621,,37.9305137,127.7785203,,,,,
,식음료,음식점,강서추어탕,충북 청주시 흥덕구 가로수로 1142,,36.62629681,127.4236648,043-231-9460,매일 11:30 - 21:30//14:30 - 17:00 브레이크타임//20:30 라스트오더,,,
,식음료,음식점,강촌설렁탕,충북 청주시 흥덕구 1순환로 569 (봉명동),,36.642266,127.462225,043-272-0111,07:00 - 22:00//15:30 - 16:30 브레이크타임,,,
,식음료,음식점,개신동해장국,충북 청주시 서원구 모충로 16,,36.62468297,127.4658177,043-273-4546,매일 06:00 - 21:00//15:30 - 17:00 브레이크타임,,,
,식음료,음식점,갱치식당,충북 괴산군 괴산읍 문무로역고개길 73-1,,36.80944461,127.8070216,043-832-7850,,,,
,식음료,음식점,거루캥테이블,부산광역시 해운대구 송정중앙로5번길 79,부산광역시 해운대고 송정동 127-6,35.186914,129.203753,051-704-2511,"월-화 09시30분-18시,수-금 09시30분-21시",,,2022-11-30
,식음료,음식점,건강한밥상,충북 청주시 청원구 오창읍 오창가좌3길 42,,36.73152177,127.3759197,043-217-2170,11:30 - 21:00//19:00 라스트오더//매주 월요일 정기휴무,,,
,식음료,음식점,게리가,제주특별자치도 서귀포시 공천포로 51,제주특별자치도 서귀포시 남원읍 신례리 71-3,33.263498,126.640829,0507-1331-9541,"월,화,목,금 10시-18시",,,2022-11-30
,식음료,음식점,경남식당,충북 단양군 단양읍 고수동굴길 4-2,,36.98848644,128.3821404,043-422-3162,매일 08:30 - 19:00//18:30 라스트오더,,,
,식음료,음식점,경성만두요리전문점,충북 옥천군 옥천읍 옥천로 1644,,36.29638377,127.5664964,043-732-7942,11:00~20:30,,,
,식음료,음식점,경주식당,충북 단양군 단양읍 도전6길 14,,36.98067341,128.3701559,043-421-0504,07:00 - 20:30//매주 월요일 정기휴무,,,
,식음료,음식점,경주집버섯찌개,충북 청주시 상당구 남사로93번길 21,,36.6329318,127.4855044,043-221-6523,10:00 - 20:00//14:30 - 17:00 브레이크타임//19:00 라스트오더//정기휴무 (매주 월요일),,,
,식음료,음식점,경진각,충북 옥천군 옥천읍 중앙로4길 11,,36.30026296,127.5697408,043-731-2357,11:00 - 18:30//15:00 - 16:30 브레이크타임//18:00 라스트오더//매주 월요일 정기휴무,,,
,식음료,음식점,경희식당,충북 보은군 속리산면 사내7길 11-4,,36.53236915,127.8216291,043-543-3736,09:00 - 19:00//18:30 라스트오더,,,
,식음료,음식점,고기굼터 보궁,충북 증평군 증평읍 초중로 89,,36.78125732,127.5725999,0507-1383-2192,10:00 - 22:00//15:00 - 17:00 브레이크타임,,,
,식음료,음식점,고메303,경상남도 양산시 가촌로 137,경상남도 양산시 물금읍 가촌리 705-3,35.32255,128.994697,070-5043-0303,화-금 11시30분-21시30분,,,2022-11-30
,식음료,음식점,고목,강원특별자치도 춘천시 남산면 남이섬길 1,남이섬 내 중앙잣나무길 중간,37.790116,127.5261036,031-580-8053,,,,2025-04-09
,식음료,음식점,고사리산장식당,충북 괴산군 연풍면 새재로 1825,,36.81372372,128.0402586,043-833-2166,09:00~20:00,,,
,식음료,음식점,고씨네 동해막국수 강문본점,"강원특별자치도 강릉시 창해로350번길 25 (강문동), 1층~3층",,37.79638614,128.9172913,,,,,2025-10-23
,식음료,음식점,고씨네동해막국수 강릉본점,강원 강릉시 창해로350번길 25 1층,,37.7963158,128.9171596,,,,,
,식음료,음식점,고은정육점삼흥집,충북 청주시 상당구 남일면 단재로 748,,36.56526913,127.509424,043-297-5162,"09:30 - 21:30//매달 1,3번째 월요일 정기휴무",,,
,식음료,음식점,고추만두국집,충북 청주시 상당구 사직대로350번길 61,,36.63384465,127.4864986,043-253-4260,11:00 - 20:30//정기휴무 (매주 월요일),,,
,식음료,음식점,고향집,충북 진천군 진천읍 문화로 319-5,,36.86428634,127.4458625,043-533-9573,10:00 - 22:00//21:30 라스트오더,,,
,식음료,음식점,고향집두부,충북 단양군 대강면 단양로 68,,36.9210632,128.3652463,0507-1463-0657,08:00 - 20:00,,,
,식음료,음식점,고화갈비살(청주본점),충북 청주시 상당구 남일면 단재로 557,,36.58163771,127.5106316,043-283-3200,11:00 - 21:30//15:00 - 16:30 브레이크타임//20:30 라스트오더,,,
,식음료,음식점,곤드레밥집,충북 진천군 진천읍 문화로 91-8,,36.84968661,127.4384199,043-534-1080,11:00 - 19:30//15:00 - 17:00 브레이크타임//매주 일요일 정기휴무,,,
,식음료,음식점,골드홀릭,인천광역시 중구 월미문화로 71,인천광역시 중구 북성동1가 98-12 월미비치타운,37.472142,126.596255,032-773-3311,월-금 11시-24시,,,2022-11-30
,식음료,음식점,골든타이,서울특별시 송파구 위례성대로 66,서울특별시 송파구 방이동 171-4,37.514709,127.119435,0507-1421-8089,월-금 11시-22시,,,2022-11-30
,식음료,음식점,광안리남매,부산광역시 수영구 남천동로108번길 54,부산광역시 수영구 남천동 5-1 태광,35.146716,129.114074,070-4312-6566,월-금 12시-24시,,,2022-11-30
,식음료,음식점,괴강올갱이전문점,충북 괴산군 괴산읍 충민로 1,,36.80411861,127.822769,043-832-1144,08:00~21:00,,,
,식음료,음식점,괴산매운탕,충북 괴산군 괴산읍 괴강로 248,,36.80599526,127.8175216,043-832-2838,09:00~20:30,,,
,식음료,음식점,괴산산막이매운탕,충북 괴산군 칠성면 산막이옛길 80-11,,36.76170689,127.8387056,043-834-9116,매일 09:00 - 19:00//18:30 라스트오더,,,
,식음료,음식점,괴산한우타운,충북 괴산군 칠성면 괴강로 632,,36.78969251,127.8515073,043-832-1592,11:00~21:00 매주 월요일 휴무,,,
,식음료,음식점,교동제비집,인천 강화군 교동면 교동남로 20-1,,126.2795092,37.78143173,032-934-1000,10:00~16:00,둘째·넷째주 월요일 휴무,,2024-07-31
,식음료,음식점,구읍할매묵집,충북 옥천군 옥천읍 향수길 46,,36.31484282,127.5804105,043-732-1853,11:00~20:00,,,
,식음료,음식점,궈라오교자관,경기도 안산시 단원구 관산3길 15-1,,37.33150957,126.7977833,미집계,10:00~22:00,연중무휴,,2022-12-09 12:00
,식음료,음식점,권가제면소 오송점,충북 청주시 흥덕구 오송읍 오송생명14로 363,,36.61964342,127.3231862,043-233-1354,10:30 - 14:30//14:00 라스트오더//정기휴무 (매주 일요일),,,
,식음료,음식점,그라치에,서울특별시 서대문구 이화여대길 33,서울특별시 서대문구 대현동 56-74,37.558459,126.945622,,월-금 11시-22시,,,2022-11-30
,식음료,음식점,그란스 다산,"경기도 남양주시 다산중앙로82번안길 156 (다산동), 정행법조빌딩 1층",,37.61312449,127.1688135,,,,,2025-08-20
,식음료,음식점,그랜드 BAKERY,경기도 안산시 단원구 다문화길 30,,37.33053503,126.7960822,031-494-7764,09:00~22:00,연중무휴,,2022-12-09 12:00
,식음료,음식점,그랩어,서울특별시 용산구 신흥로3가길 10,서울특별시 용산구 용산동2가 43-11,37.54135,126.985916,02-792-3009,화-금 09시30분-20시,,,2022-11-30
,식음료,음식점,그럼피베이비,제주특별자치도 서귀포시 안덕면 녹차분재로 65,제주특별자치도 서귀포시 안덕면 서광리 1394-6,33.290804,126.300704,064-726-0466,수-금 10시-15시,,,2022-11-30
,식음료,음식점,그로또,경기도 수원시 영통구 청명북로 2,경기도 수원시 영통구 영통동 1030-2,37.251808,127.078943,031-205-7220,월-금 10시-22시,,,2022-11-30
,식음료,음식점,그집에가면,충북 청주시 상당구 산성로9번길 3,,36.62512646,127.498239,043-255-9444,09:00 - 21:00//20:30 라스트오더,,,
,식음료,음식점,극동반점,충북 청주시 상당구 상당로121번길 60,,36.639189,127.4865788,043-255-4074,11:30 - 20:30//14:30 - 17:00 브레이크타임//정기휴무 (매주 화요일),,,
,식음료,음식점,글라스하우스,강원특별자치도 고성군 토성면 천진해변길 43,,38.26067249,128.5598869,,,,,2025-07-14
,식음료,음식점,글루글루,충북 제천시 수산면 옥순봉로10길 2,,36.9806442,128.2018975,0507-1358-2664,11:00~19:00,,,
,식음료,음식점,금강민물매운탕,충북 음성군 음성읍 용광로230번길 67,,36.96335865,127.681235,043-873-1400,매일 10:00 - 22:00,,,
,식음료,음식점,금성가든,충북 제천시 금성면 청풍호로 1539,,37.03044399,128.1779125,043-644-4743,,,,
,식음료,음식점,금성제면소,충북 제천시 금성면 청풍호로 991,,37.06663602,128.168326,0507-1479-8870,11:00~17:00 매주 월요일 휴무,,,
,식음료,음식점,금수강산 식당,충북 음성군 음성읍 중앙로 137,,36.93654572,127.6895712,043-872-3135,11:00~21:00,,,
,식음료,음식점,금수산가든,충북 제천시 청풍면 학현소야로 239,,37.00955857,128.2077264,043-648-0471,11:00 - 20:00//매주 월요일 정기휴무,,,
,식음료,음식점,금수장장어구이,충북 청주시 서원구 현도면 청남로 16,,36.45817877,127.4284746,042-932-5454,10:00 - 21:00//20:30 라스트오더,,,
,식음료,음식점,금오산해물탕찜,경상북도 구미시 백산로 91 (송정동),송정동 36-1,36.12086189,128.3435196,,,,,2025-03-05
,식음료,음식점,금은복집,충북 청주시 흥덕구 사운로 223,,36.64805232,127.4758247,043-274-2557,11:00 - 22:00//정기휴무 (매주 일요일),,,
,식음료,음식점,금적가든,충북 보은군 삼승면 거현송죽로 334,,36.43398692,127.7177328,043-544-7755,10:00~20:30,,,
,식음료,음식점,기네스72,서울특별시 용산구 이태원로27가길 58,서울특별시 용산구 이태원동 118-72,37.534959,126.992095,0507-1348-2934,월-금 18시-01시,,,2022-11-30
,식음료,음식점,기사님식당,충북 보은군 속리산면 법주사로 18,,36.51257112,127.8106288,043-543-3729,11:00 - 20:00//15:00 - 17:00 브레이크타임//19:30 라스트오더//매주 월요일 정기휴무,,,
,식음료,음식점,길손식당,충북 보은군 속리산면 법주사로 222,,36.52821266,127.8199857,043-543-8406,11:00 - 15:00//정기휴무 (매주 화요일),,,
,식음료,음식점,김가네더덕밥,충북 청주시 서원구 대림로421번길 24,,36.60783745,127.4401506,043-236-0789,11:30 - 21:00//14:30 - 17:00 브레이크타임,,,
,식음료,음식점,김녕함바그집,제주특별자치도 제주시 구좌읍 김녕로21길 9,제주특별자치도 제주시 구좌읍 김녕리 1223-9,33.556844,126.755347,0507-1314-1130,"월,수-금 11시-16시",,,2022-11-30
,식음료,음식점,김천식당,충북 보은군 보은읍 삼산로1길 25-4,,36.48239981,127.7214492,043-543-1413,10:00~21:00,,,
,식음료,음식점,까망염소,충북 청주시 흥덕구 고락로40번길 19,,36.64297803,127.4010069,043-233-3406,11:00 - 20:30//평일 15:00 - 17:00 브레이크타임//19:40 라스트오더,,,
,식음료,음식점,까폼 본점,서울특별시 강남구 선릉로153길 18,서울특별시 강남구 신사동 655-15,37.524876,127.037988,0507-1411-7318,월-금 11시30분-22시,,,2022-11-30
,식음료,음식점,꼬마각시 금릉점,충북 충주시 금제4길 6 (금릉동),,36.989439,127.924712,043-851-1297,11:30 - 21:00//15:00 - 17:30 브레이크타임//매주 일요일 정기휴무,,,
,식음료,음식점,꾸띠 자르당,서울특별시 용산구 보광로 120,서울특별시 용산구 이태원동 131-23,37.533448,126.994608,02-793-5072,"월-목 11시30분-01시,금 11시30분-03시",,,2022-11-30
,식음료,음식점,꾸안,경기도 수원시 팔달구 화서문로 60,경기도 수원시 팔달구 신풍동 21,37.285528,127.014703,0507-1358-3832,월-금 11시-21시,,,2022-11-30
,식음료,음식점,꾸잉,서울특별시 용산구 이태원로 189,서울특별시 용산구 이태원동 123-33,37.534855,126.994914,02-796-1244,월-금 10시-21시30분,,,2022-11-30
,식음료,음식점,꿀꺽,강원특별자치도 강릉시 해안로 292 (강문동),6호,37.79137011,128.9202106,033-651-3337,,,,2025-09-09
,식음료,음식점,꿀밤베이커리카페,경기도 안산시 단원구 풍전로 37-9,,37.32460174,126.7896804,031-495-5400,09:00~19:00,일,,2022-12-09 12:00
,식음료,음식점,뀌쏭82,서울특별시 강남구 양재천로 167,서울특별시 강남구 도곡동 453-16,37.481653,127.044772,02-529-3582,수-금 12시-22시,,,2022-11-30
,식음료,음식점,나경한정식,충북 청주시 흥덕구 월명로 172 (봉명동),,36.649967,127.454233,043-273-2900,11:30 - 21:00//매주 일요일 정기휴무,,,
,식음료,음식점,나루터가마솥곰탕,충북 청주시 상당구 문의면 미천고은로 73,,36.53107213,127.5028365,043-284-3700,10:00 - 20:00//15:30 - 16:30 브레이크타임//19:30 라스트오더,,,
,식음료,음식점,나릿집,충북 청주시 흥덕구 덕암로30번길 18,,36.6521577,127.45718,0507-1414-7774,11:30 - 22:00//15:30 - 16:30 브레이크타임//21:30 라스트오더//- 매주 일요일 정기휴무,,,
,식음료,음식점,난산리식당,제주특별자치도 서귀포시 난산로41번길 38,제주특별자치도 서귀포시 성산읍 난산리 1054-1,33.399126,126.867785,0507-1370-4169,"월,수-금 11시-22시",,,2022-11-30
,식음료,음식점,난설헌메밀촌,강원특별자치도 강릉시 난설헌로 105 (포남동),라동,37.78529549,128.9038289,0502-5550-2213,,,,2025-09-12
,식음료,음식점,남가네설악추어탕(증평점),충북 증평군 증평읍 초중2길 23,,36.776342,127.5713968,043-838-8234,09:30 - 21:00//매주 수요일 정기휴무,,,
,식음료,음식점,남들갈비,충북 청주시 서원구 청남로2133번길 8,,36.62279071,127.4875047,043-285-5599,11:30~23:00,,,
,식음료,음식점,남일순대,충북 청주시 상당구 남일면 효촌송정1길 5-10,,36.58836516,127.5112339,0507-1367-3560,10:30 - 21:00//20:30 라스트오더//매주 일요일 정기휴무,,,
,식음료,음식점,남주동해장국,충북 청주시 상당구 무심동로304번길 10,,36.62927697,127.4851817,043-256-8575,06:00 - 15:00//매주 월요일 정기휴무,,,
,식음료,음식점,남한강횟집,충북 충주시 동량면 호반로 7,,37.03016974,127.9730256,043-851-2544,11:00 - 20:30//15:30 - 16:30 브레이크타임//19:30 라스트오더//매주 화요일 정기휴무,,,
,식음료,음식점,낭만짜장,충북 제천시 의림대로48길 2-41,,37.17727523,128.2122418,043-643-4626,매일 10:00 - 16:30//16:00 라스트오더,,,
,식음료,음식점,낭성오리박사,충북 청주시 상당구 낭성면 산성로 1107,,36.63345382,127.5845891,043-221-5292,10:30 - 20:30//19:40 라스트오더//매주 월요일 정기휴무,,,
,식음료,음식점,내니스,경기도 성남시 분당구 동판교로177번길 25,경기도 성남시 분당구 삼평동 740 판교 호반 써밋 플레이스,37.397321,127.113562,0507-1488-0099,월-금 11시-21시,,,2022-11-30
,식음료,음식점,냐항,서울특별시 성동구 연무장길 9-6,서울특별시 성동구 성수동2가 301-87,37.543952,127.051013,0507-1332-5279,월-금 11시30분-22시,,,2022-11-30
,식음료,음식점,냠냠,경상남도 양산시 가촌서로 11,경상남도 양산시 물금읍 가촌리 1324,35.319041,128.988798,0507-1392-9491,화-금 11시-21시,,,2022-11-30
,식음료,음식점,노목산장가든,충북 제천시 봉양읍 옥전길 164,,37.17400993,128.0914511,043-651-5221,매일 10:00 - 19:00//18:00 라스트오더,,,
,식음료,음식점,농다리은행나무집,충북 진천군 문백면 농다리로 1094,,36.83446519,127.4871201,043-534-5255,10:00 - 21:00//매주 월요일 정기휴무,,,
,식음료,음식점,농다리찌개마을,충북 진천군 문백면 농다리로 1032-5,,36.82972165,127.4902067,043-532-6238,09:30~20:00,,,
,식음료,음식점,농사꾼의집,충북 제천시 명지로6안길 15,,37.1075821,128.1973635,043-647-4589,매일 10:00 - 21:00,,,
,식음료,음식점,누올리언스,서울특별시 강남구 논현로26길 29,서울특별시 강남구 도곡동 424-8,37.483156,127.044656,02-6958-8484,화-금 11시30분-22시,,,2022-11-30
,식음료,음식점,누커리,서울특별시 중랑구 겸재로50나길 76,서울특별시 중랑구 면목동 65-1,37.585585,127.093745,0507-1441-5589,화-금 09시-18시,,,2022-11-30
,식음료,음식점,느티나무집,충북 진천군 진천읍 백곡로 1253,,36.88115546,127.4001929,043-532-5534,11:00~21:00 매주 월요일 휴무,,,
,식음료,음식점,능이손칼국수,충북 보은군 보은읍 성족2길 41,,36.51187059,127.7573188,043-542-4585,매일 10:00 - 20:00,,,
,식음료,음식점,다경바지락 칼국수,충북 청주시 청원구 내수읍 마산2길 45,,36.72250485,127.5366513,043-213-8078,11:00 - 20:00//19:30 라스트오더//정기휴무 (매주 일요일),,,
,식음료,음식점,다경횟집,강원특별자치도 강릉시 주문진읍 신리천로 11-1,,37.88592682,128.8289437,0507-1432-2011,,,,2025-09-15
,식음료,음식점,다담뜰한식뷔페제천점,충북 제천시 숭문로5길 6,,37.13673173,128.2052148,043-648-7800,11:00~20:00,,,
,식음료,음식점,다원돌솥밥,충북 진천군 문백면 농다리로 1329,,36.84240662,127.4650317,043-532-6628,10:00 - 20:00//15:30 - 17:00 브레이크타임//19:00 라스트오더,,,
,식음료,음식점,다이닝조개,강원특별자치도 강릉시 해안로 280 (강문동),4호,37.79060077,128.9209633,0507-1325-0322,,,,2025-09-12
,식음료,음식점,다이닝타일드,경기도 남양주시 다산중앙로 153,경기도 남양주시 다산동 6028,37.626109,127.151357,031-552-7773,"수-목 10시30분-21시30분,금 10시30분-22시",,,2022-11-30
,식음료,음식점,단골집,충북 진천군 초평면 초평로 1053,,36.81322914,127.5172939,043-532-6171,매일 10:00 - 21:00//20:00 라스트오더,,,
,식음료,음식점,단양 강천쏘가리 매운탕 본점,충북 단양군 단양읍 수변로 59,,36.98075607,128.3704105,0507-1403-1298,매일 08:30 - 21:00,,,
,식음료,음식점,단양 냉천막국수 식당,충북 단양군 단양읍 도전3길 2,,36.97748901,128.3683086,043-423-4232,11:00~20:00 매주 목요일 휴무,,,
,식음료,음식점,단양팔각정,충북 단양군 단양읍 수변로 95,,36.98395664,128.3710195,0507-1445-8115,11:00 - 21:00,,,
,식음료,음식점,달거니해장국,충북 음성군 감곡면 가곡로 226,,37.11732687,127.6673377,043-883-8888,05:30 - 21:00//15:00 - 17:00 브레이크타임//20:00 라스트오더//매주 화요일 정기휴무,,,
,식음료,음식점,달이머무는집,충북 영동군 황간면 월류봉길 57,,36.23273272,127.8893585,0507-1317-7966,,,,
,식음료,음식점,당근과자점,대구광역시 수성구 지범로25길 17,대구광역시 수성구 지산동 518-1,35.824525,128.637661,070-8860-8401,월-금 11시-19시,,,2022-11-30
